epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3623.79,0.79358,0.71353,1.20625,0.95916,0.94482,0.97641,0.83991,0.61252,0.42498,1.08405,0.0014588,0.0014588,0.0014588
43,3710.92,0.78936,0.72193,1.20765,0.96295,0.93455,0.97412,0.84285,0.59325,0.42643,1.05739,0.0014456,0.0014456,0.0014456
44,3797.04,0.79488,0.71747,1.21255,0.94346,0.93562,0.97301,0.83874,0.60893,0.4336,1.07427,0.0014324,0.0014324,0.0014324
45,3880.55,0.77755,0.69412,1.19509,0.9576,0.94408,0.97539,0.84369,0.59532,0.4072,1.06492,0.0014192,0.0014192,0.0014192
46,3967.02,0.77921,0.69475,1.19373,0.95841,0.94412,0.97606,0.8432,0.58753,0.41631,1.05359,0.001406,0.001406,0.001406
47,4048.55,0.76705,0.69229,1.18385,0.95611,0.94147,0.97753,0.85283,0.5639,0.40167,1.03882,0.0013928,0.0013928,0.0013928
48,4129.5,0.76068,0.66381,1.17724,0.96637,0.94565,0.97912,0.85487,0.56285,0.38824,1.03078,0.0013796,0.0013796,0.0013796
49,4213.55,0.7644,0.67615,1.18636,0.97436,0.94314,0.97953,0.85628,0.57597,0.39365,1.03964,0.0013664,0.0013664,0.0013664
50,4294.98,0.74838,0.67306,1.17714,0.97685,0.95255,0.98308,0.85565,0.57253,0.37751,1.03591,0.0013532,0.0013532,0.0013532
51,4377.58,0.75221,0.6705,1.18201,0.96984,0.93395,0.98054,0.85796,0.55392,0.40067,1.0286,0.00134,0.00134,0.00134
52,4459.61,0.74166,0.65935,1.17234,0.96443,0.95216,0.98413,0.8634,0.55612,0.37788,1.029,0.0013268,0.0013268,0.0013268
53,4546.21,0.731,0.64261,1.16274,0.97579,0.94816,0.98297,0.86236,0.55151,0.36714,1.0233,0.0013136,0.0013136,0.0013136
54,4632.7,0.7275,0.65856,1.15959,0.96561,0.93915,0.98091,0.85831,0.55583,0.37662,1.03768,0.0013004,0.0013004,0.0013004
55,4715.22,0.72194,0.62935,1.15642,0.96738,0.94216,0.97737,0.85675,0.5551,0.37911,1.03062,0.0012872,0.0012872,0.0012872
56,4796.84,0.72351,0.63718,1.15998,0.9748,0.93791,0.97901,0.86074,0.55479,0.39081,1.02594,0.001274,0.001274,0.001274
57,4879.2,0.72197,0.62731,1.15367,0.96434,0.95485,0.98065,0.87523,0.52933,0.36163,1.01929,0.0012608,0.0012608,0.0012608
58,4968.05,0.72121,0.62492,1.15956,0.96597,0.9494,0.98094,0.87604,0.5278,0.35863,1.01044,0.0012476,0.0012476,0.0012476
59,5054.39,0.72384,0.63827,1.15935,0.96943,0.95453,0.98259,0.86674,0.53457,0.34654,1.00802,0.0012344,0.0012344,0.0012344
60,5136.39,0.70252,0.62953,1.15227,0.96821,0.94732,0.97935,0.86357,0.53441,0.38048,1.02086,0.0012212,0.0012212,0.0012212
61,5218.29,0.70716,0.61614,1.14695,0.97276,0.95553,0.98484,0.87203,0.52171,0.35007,1.00618,0.001208,0.001208,0.001208
62,5300.06,0.69423,0.61114,1.14025,0.97086,0.94718,0.98189,0.87862,0.52006,0.34433,1.00724,0.0011948,0.0011948,0.0011948
63,5381.48,0.70113,0.59769,1.13988,0.96016,0.95987,0.98185,0.87895,0.51455,0.33663,1.00309,0.0011816,0.0011816,0.0011816
64,5459.79,0.69189,0.60192,1.13913,0.97599,0.95179,0.97954,0.88395,0.51027,0.33136,1.00008,0.0011684,0.0011684,0.0011684
65,5541.29,0.68579,0.59642,1.13691,0.96708,0.95819,0.98181,0.88654,0.50522,0.33778,0.99559,0.0011552,0.0011552,0.0011552
66,5643.44,0.69488,0.61442,1.13563,0.9755,0.94649,0.98236,0.88485,0.51299,0.34127,1.00502,0.001142,0.001142,0.001142
67,5737.65,0.67775,0.59029,1.12686,0.97355,0.95413,0.98031,0.88419,0.49827,0.32896,0.99356,0.0011288,0.0011288,0.0011288
68,5826.04,0.67691,0.59406,1.12815,0.97341,0.94893,0.98126,0.8887,0.48864,0.3418,0.97563,0.0011156,0.0011156,0.0011156
69,5912.64,0.6665,0.57573,1.12149,0.97264,0.95099,0.98222,0.89451,0.47758,0.32994,0.96991,0.0011024,0.0011024,0.0011024
70,6002.32,0.67951,0.58737,1.12878,0.97498,0.95234,0.98578,0.89262,0.48913,0.32803,0.97983,0.0010892,0.0010892,0.0010892
71,6086.61,0.66954,0.58876,1.12191,0.97764,0.95067,0.98687,0.89964,0.48184,0.31488,0.97344,0.001076,0.001076,0.001076
72,6174.57,0.67092,0.58178,1.12227,0.98295,0.95569,0.98661,0.89945,0.48183,0.31257,0.97741,0.0010628,0.0010628,0.0010628
73,6264.74,0.65875,0.57469,1.11693,0.98351,0.94729,0.98288,0.89011,0.49329,0.33084,0.98099,0.0010496,0.0010496,0.0010496
74,6360.37,0.6417,0.54793,1.10585,0.98351,0.94762,0.98295,0.89737,0.48135,0.31867,0.97853,0.0010364,0.0010364,0.0010364
75,6447.45,0.65579,0.57594,1.11346,0.98111,0.95541,0.98389,0.89462,0.47843,0.31129,0.9741,0.0010232,0.0010232,0.0010232
76,6541.72,0.64071,0.56228,1.10862,0.97358,0.95499,0.97993,0.89662,0.46632,0.31563,0.96028,0.00101,0.00101,0.00101
77,6632.31,0.64867,0.55642,1.10889,0.97443,0.95596,0.98482,0.89466,0.46946,0.31181,0.96594,0.0009968,0.0009968,0.0009968
78,6717.89,0.65408,0.56356,1.10886,0.96971,0.96352,0.98566,0.90149,0.46057,0.30206,0.95931,0.0009836,0.0009836,0.0009836
79,6805.63,0.63876,0.53991,1.10228,0.9792,0.95401,0.98515,0.90112,0.4611,0.29432,0.96079,0.0009704,0.0009704,0.0009704
80,6895.24,0.62693,0.54564,1.09198,0.9827,0.95401,0.98433,0.90007,0.46247,0.30194,0.9583,0.0009572,0.0009572,0.0009572
81,6975.01,0.63482,0.5412,1.10122,0.98118,0.9592,0.98773,0.90606,0.44681,0.28579,0.95077,0.000944,0.000944,0.000944
82,7052.92,0.62016,0.5289,1.09239,0.97288,0.97241,0.98488,0.9021,0.45769,0.28681,0.95538,0.0009308,0.0009308,0.0009308
83,7132.7,0.63797,0.555,1.10615,0.97849,0.9607,0.98573,0.89883,0.4568,0.29251,0.95411,0.0009176,0.0009176,0.0009176
84,7211.11,0.62125,0.53485,1.09476,0.98144,0.96405,0.98758,0.90681,0.45303,0.28557,0.95541,0.0009044,0.0009044,0.0009044
85,7290.68,0.62382,0.5397,1.09452,0.97966,0.97074,0.98556,0.90715,0.44826,0.28967,0.95123,0.0008912,0.0008912,0.0008912
86,7371.42,0.6266,0.52821,1.09333,0.99098,0.95819,0.98577,0.9116,0.43797,0.28612,0.94383,0.000878,0.000878,0.000878
87,7452.05,0.6162,0.5154,1.09044,0.98208,0.96253,0.98727,0.9144,0.43853,0.28728,0.9454,0.0008648,0.0008648,0.0008648
88,7537.4,0.61476,0.52787,1.08541,0.98195,0.96488,0.98791,0.91053,0.43558,0.28087,0.93856,0.0008516,0.0008516,0.0008516
89,7625.24,0.60955,0.52589,1.08735,0.99439,0.95903,0.98943,0.91581,0.43622,0.2755,0.94198,0.0008384,0.0008384,0.0008384
90,7709.53,0.62125,0.53397,1.08826,0.98208,0.96212,0.98747,0.91037,0.4441,0.28069,0.95222,0.0008252,0.0008252,0.0008252
91,7800.41,0.59996,0.52236,1.08021,0.98025,0.97241,0.98727,0.91113,0.44711,0.27824,0.95618,0.000812,0.000812,0.000812
92,7883.86,0.60268,0.51658,1.07618,0.97979,0.96656,0.9861,0.91834,0.43265,0.28394,0.94669,0.0007988,0.0007988,0.0007988
93,7968.28,0.59936,0.51652,1.08299,0.98053,0.96405,0.98663,0.91703,0.43078,0.27431,0.94231,0.0007856,0.0007856,0.0007856
94,8056.44,0.59932,0.51172,1.08126,0.98777,0.96321,0.98826,0.91582,0.42819,0.27444,0.93479,0.0007724,0.0007724,0.0007724
95,8143.85,0.59899,0.51018,1.07751,0.98949,0.95819,0.98582,0.91567,0.42747,0.27374,0.93415,0.0007592,0.0007592,0.0007592
96,8236.58,0.58818,0.50489,1.07632,0.98496,0.96321,0.98639,0.92013,0.42267,0.27403,0.93538,0.000746,0.000746,0.000746
97,8325.74,0.58938,0.50296,1.07885,0.97393,0.96828,0.98631,0.91884,0.41397,0.27008,0.92399,0.0007328,0.0007328,0.0007328
98,8414.83,0.59207,0.5034,1.07647,0.99131,0.95415,0.98699,0.92188,0.41907,0.26621,0.92767,0.0007196,0.0007196,0.0007196
99,8504.8,0.57735,0.49531,1.07022,0.97882,0.96592,0.98679,0.92754,0.41439,0.2638,0.927,0.0007064,0.0007064,0.0007064
100,8595.16,0.57528,0.49019,1.06236,0.98462,0.96326,0.98767,0.92459,0.40984,0.26563,0.92867,0.0006932,0.0006932,0.0006932
101,8685.63,0.57559,0.48946,1.05946,0.98929,0.95903,0.98803,0.9254,0.41283,0.26504,0.92984,0.00068,0.00068,0.00068
102,8779.9,0.5701,0.48343,1.06408,0.99134,0.95734,0.98766,0.92119,0.41138,0.26586,0.92833,0.0006668,0.0006668,0.0006668
103,8869.76,0.56412,0.47822,1.05728,0.98044,0.96407,0.98696,0.92729,0.4076,0.26857,0.92346,0.0006536,0.0006536,0.0006536
104,8957.89,0.56407,0.47525,1.05739,0.98498,0.96321,0.98749,0.92583,0.40472,0.26937,0.92182,0.0006404,0.0006404,0.0006404
105,9043.51,0.5656,0.48601,1.05929,0.98935,0.96237,0.9883,0.9273,0.40686,0.26722,0.91841,0.0006272,0.0006272,0.0006272
106,9129.81,0.57646,0.47236,1.07478,0.98123,0.9699,0.98693,0.92948,0.40596,0.25746,0.92545,0.000614,0.000614,0.000614
107,9223.37,0.56274,0.46954,1.05575,0.98496,0.96739,0.98632,0.92605,0.40531,0.26784,0.92025,0.0006008,0.0006008,0.0006008
