epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3288.4,1.14996,1.14945,1.41419,0.86025,0.73638,0.85767,0.52318,1.4892,1.30202,1.66696,0.00828443,0.00828443,0.00828443
43,3365.62,1.14212,1.1327,1.41753,0.85993,0.77669,0.87474,0.52725,1.59045,1.24989,1.76742,0.00820525,0.00820525,0.00820525
44,3443.68,1.12107,1.10661,1.40019,0.89248,0.77015,0.88694,0.52962,1.52325,1.16565,1.68158,0.00812468,0.00812468,0.00812468
45,3523.01,1.11671,1.09761,1.39273,0.84293,0.77996,0.86648,0.54531,1.52335,1.18437,1.69241,0.00804277,0.00804277,0.00804277
46,3601.33,1.09614,1.07862,1.37234,0.83882,0.81481,0.88802,0.56394,1.47051,1.0401,1.63241,0.00795954,0.00795954,0.00795954
47,3678.93,1.11911,1.08558,1.38871,0.83528,0.80283,0.88266,0.54717,1.50616,1.13273,1.75937,0.00787503,0.00787503,0.00787503
48,3758.12,1.10233,1.07182,1.37919,0.83067,0.80392,0.88598,0.55729,1.48863,1.09922,1.6307,0.00778929,0.00778929,0.00778929
49,3835.68,1.09609,1.05607,1.37291,0.84571,0.82353,0.8912,0.55906,1.49636,1.23255,1.66978,0.00770234,0.00770234,0.00770234
50,3913.09,1.07595,1.03059,1.36235,0.87468,0.80065,0.88898,0.56135,1.44985,0.99028,1.62146,0.00761423,0.00761423,0.00761423
51,3992.08,1.07508,1.04559,1.35498,0.87492,0.81699,0.89602,0.56954,1.43213,1.01537,1.58895,0.007525,0.007525,0.007525
52,4069.21,1.0838,1.03608,1.36021,0.88478,0.81137,0.89366,0.58044,1.37341,0.98707,1.57948,0.00743468,0.00743468,0.00743468
53,4147.16,1.06245,1.02104,1.35081,0.8765,0.8061,0.89917,0.5781,1.3943,1.07358,1.59626,0.00734332,0.00734332,0.00734332
54,4224.41,1.08525,1.04076,1.36395,0.87853,0.80358,0.9039,0.57853,1.39373,0.94163,1.59025,0.00725094,0.00725094,0.00725094
55,4301.99,1.0734,1.03049,1.34795,0.8898,0.84096,0.91475,0.57975,1.45957,1.02893,1.62183,0.00715761,0.00715761,0.00715761
56,4380.91,1.05316,0.99111,1.34161,0.88989,0.80065,0.89975,0.58781,1.38148,0.96907,1.57765,0.00706335,0.00706335,0.00706335
57,4458.82,1.04324,0.98919,1.33348,0.86507,0.83115,0.89966,0.59381,1.34088,0.99559,1.57513,0.0069682,0.0069682,0.0069682
58,4535.85,1.04816,0.99627,1.33488,0.85058,0.84956,0.90253,0.59156,1.35751,0.8642,1.56808,0.00687222,0.00687222,0.00687222
59,4614.62,1.02631,0.9631,1.31808,0.89121,0.81264,0.90829,0.59724,1.32458,0.84191,1.5494,0.00677543,0.00677543,0.00677543
60,4692.44,1.02488,0.96209,1.32008,0.87655,0.82789,0.90602,0.59164,1.31829,0.99935,1.56366,0.00667789,0.00667789,0.00667789
61,4770.21,1.03407,0.96817,1.32097,0.89833,0.82775,0.90458,0.58971,1.31979,1.07533,1.56119,0.00657963,0.00657963,0.00657963
62,4849.68,1.02152,0.95393,1.30829,0.87893,0.83827,0.90476,0.58593,1.35378,1.06203,1.59074,0.00648071,0.00648071,0.00648071
63,4927.8,1.01639,0.92924,1.31396,0.87272,0.8291,0.90869,0.59304,1.373,0.97782,1.59756,0.00638115,0.00638115,0.00638115
64,5005.67,1.02538,0.96415,1.31618,0.89178,0.84205,0.90587,0.6008,1.34795,0.94002,1.5771,0.00628101,0.00628101,0.00628101
65,5084.83,1.00871,0.93419,1.30966,0.90411,0.8366,0.9092,0.60067,1.37125,0.94565,1.60807,0.00618034,0.00618034,0.00618034
66,5161.2,0.99377,0.92237,1.29391,0.87947,0.83878,0.90763,0.60409,1.37774,0.93963,1.63944,0.00607916,0.00607916,0.00607916
67,5240.84,0.99951,0.91562,1.29976,0.87947,0.85512,0.90964,0.60993,1.30662,1.05864,1.54401,0.00597754,0.00597754,0.00597754
68,5318.34,0.98429,0.89862,1.28701,0.91435,0.83115,0.91787,0.60722,1.2815,0.9926,1.51697,0.00587551,0.00587551,0.00587551
69,5395.82,0.98632,0.89434,1.29021,0.89388,0.84418,0.91215,0.60698,1.29692,1.03537,1.51637,0.00577311,0.00577311,0.00577311
70,5474.78,0.9926,0.90764,1.29588,0.89609,0.84858,0.91544,0.6149,1.29822,0.94102,1.53534,0.0056704,0.0056704,0.0056704
71,5552.42,0.97124,0.88393,1.27624,0.90125,0.83515,0.91487,0.61541,1.27455,0.90398,1.51929,0.00556742,0.00556742,0.00556742
72,5629.68,0.96637,0.88871,1.27401,0.89169,0.852,0.91645,0.61668,1.301,0.89614,1.52881,0.00546421,0.00546421,0.00546421
73,5708.51,0.96765,0.87824,1.27546,0.91175,0.83007,0.91536,0.62241,1.29929,0.92571,1.53281,0.00536081,0.00536081,0.00536081
74,5785.83,0.94684,0.84918,1.26074,0.90213,0.86349,0.91953,0.62096,1.32462,0.9362,1.54167,0.00525728,0.00525728,0.00525728
75,5863.24,0.95366,0.86404,1.26245,0.91819,0.84358,0.91906,0.62081,1.30452,0.95644,1.52694,0.00515366,0.00515366,0.00515366
76,5942.05,0.94507,0.85059,1.25839,0.92016,0.84858,0.92007,0.62412,1.32588,0.88365,1.56693,0.00505,0.00505,0.00505
77,6019.69,0.93757,0.84413,1.25297,0.90758,0.85512,0.92486,0.63271,1.2717,0.87994,1.54576,0.00494634,0.00494634,0.00494634
78,6097.21,0.94305,0.84307,1.25357,0.90744,0.86503,0.92725,0.6317,1.24948,0.88634,1.54293,0.00484272,0.00484272,0.00484272
79,6175.8,0.9303,0.82773,1.24652,0.92851,0.84314,0.92524,0.62824,1.25239,0.89311,1.54355,0.00473919,0.00473919,0.00473919
80,6252.75,0.93633,0.83512,1.254,0.93147,0.85294,0.92409,0.62655,1.26235,0.90681,1.53507,0.00463579,0.00463579,0.00463579
81,6330.27,0.93951,0.83973,1.25703,0.92625,0.85294,0.92546,0.62789,1.26148,0.87654,1.53932,0.00453258,0.00453258,0.00453258
82,6409.33,0.91326,0.80821,1.234,0.8982,0.87364,0.92664,0.63183,1.25343,0.85511,1.52929,0.0044296,0.0044296,0.0044296
83,6486.44,0.91454,0.81159,1.23527,0.89245,0.87683,0.92697,0.63184,1.25161,0.84457,1.52063,0.00432689,0.00432689,0.00432689
84,6563.61,0.90566,0.8,1.232,0.90792,0.86928,0.92885,0.63514,1.23959,0.85341,1.50714,0.00422449,0.00422449,0.00422449
85,6641.95,0.90413,0.79186,1.22853,0.91556,0.87146,0.92789,0.64068,1.23779,0.84689,1.50602,0.00412246,0.00412246,0.00412246
86,6719.09,0.90174,0.78186,1.22535,0.90835,0.87453,0.92656,0.64203,1.23587,0.83897,1.50816,0.00402084,0.00402084,0.00402084
87,6797.25,0.88875,0.76889,1.21774,0.90307,0.87908,0.92678,0.64364,1.22975,0.86318,1.50645,0.00391966,0.00391966,0.00391966
88,6875.59,0.86726,0.76159,1.20373,0.9037,0.8791,0.92495,0.64121,1.23583,0.88977,1.51629,0.00381899,0.00381899,0.00381899
89,6953.29,0.88107,0.76583,1.21665,0.90207,0.87146,0.92259,0.64296,1.24536,0.95471,1.52674,0.00371885,0.00371885,0.00371885
90,7031.15,0.8625,0.75754,1.20398,0.89759,0.86879,0.9212,0.64298,1.23902,0.95325,1.52475,0.00361929,0.00361929,0.00361929
91,7109.81,0.87228,0.75932,1.21136,0.92,0.84858,0.92068,0.64647,1.23651,0.96026,1.52268,0.00352037,0.00352037,0.00352037
92,7187.85,0.85644,0.74459,1.19539,0.91185,0.86275,0.92718,0.6483,1.24599,1.03146,1.51593,0.00342211,0.00342211,0.00342211
