epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,580.172,1.59647,2.1355,1.69285,0.74255,0.55076,0.64971,0.27815,2.05425,2.79659,1.99415,0.00196573,0.00196573,0.00196573
44,593.149,1.6169,2.16897,1.70876,0.7261,0.54822,0.66522,0.3054,1.99369,2.10588,1.91488,0.00196409,0.00196409,0.00196409
45,606.141,1.61458,2.14146,1.69421,0.6312,0.6269,0.65242,0.2996,2.0023,2.16556,1.91688,0.00196241,0.00196241,0.00196241
46,619.428,1.63393,2.12604,1.70915,0.68116,0.56091,0.63896,0.28723,1.98255,2.15036,1.9231,0.00196069,0.00196069,0.00196069
47,632.716,1.5764,2.06884,1.68426,0.66885,0.5736,0.64551,0.29792,1.96311,2.18446,1.90294,0.00195894,0.00195894,0.00195894
48,645.716,1.61252,2.13453,1.70738,0.63782,0.62437,0.63981,0.29908,1.89667,2.20542,1.84079,0.00195714,0.00195714,0.00195714
49,658.726,1.55776,2.05671,1.67302,0.68889,0.61675,0.65524,0.30416,1.89206,2.00272,1.83162,0.00195532,0.00195532,0.00195532
50,671.757,1.60073,2.11257,1.68421,0.67137,0.6269,0.67082,0.31098,1.94962,2.12787,1.9037,0.00195345,0.00195345,0.00195345
51,684.836,1.56161,2.03984,1.66549,0.66163,0.51777,0.62121,0.2897,1.96052,2.26639,1.91712,0.00195155,0.00195155,0.00195155
52,697.869,1.57475,2.06547,1.67296,0.70902,0.59137,0.64538,0.30314,2.00376,2.12612,1.9488,0.00194961,0.00194961,0.00194961
53,710.892,1.58614,2.01074,1.69493,0.75648,0.52824,0.63549,0.27144,2.03948,2.23042,1.93367,0.00194763,0.00194763,0.00194763
54,724.01,1.58892,2.04394,1.69069,0.67753,0.62925,0.67954,0.3118,1.89602,1.96317,1.84299,0.00194561,0.00194561,0.00194561
55,737.052,1.53661,1.96636,1.64046,0.73068,0.59898,0.67619,0.29705,1.99712,2.06808,1.91244,0.00194356,0.00194356,0.00194356
56,750.164,1.55459,1.96231,1.65523,0.74221,0.62437,0.69662,0.30724,1.99241,1.99132,1.89741,0.00194147,0.00194147,0.00194147
57,763.191,1.52788,1.95089,1.6235,0.6874,0.62183,0.68276,0.31322,2.01489,2.0411,1.94903,0.00193935,0.00193935,0.00193935
58,776.432,1.5521,1.96317,1.64207,0.76362,0.61929,0.70322,0.3293,1.89972,1.91892,1.83259,0.00193718,0.00193718,0.00193718
59,789.551,1.53782,1.91758,1.64311,0.72714,0.57491,0.66197,0.32468,1.91206,2.12708,1.85455,0.00193499,0.00193499,0.00193499
60,802.635,1.53778,1.92655,1.64056,0.74822,0.6269,0.70058,0.31303,2.03514,1.96746,1.92418,0.00193275,0.00193275,0.00193275
61,815.712,1.51814,1.85944,1.61981,0.67636,0.53553,0.59104,0.26984,2.1629,2.358,2.04897,0.00193048,0.00193048,0.00193048
62,828.983,1.53802,1.91981,1.6443,0.73088,0.61421,0.7029,0.34186,1.90216,1.85789,1.82145,0.00192817,0.00192817,0.00192817
63,842.12,1.51881,1.9074,1.6252,0.6875,0.63654,0.68181,0.3277,1.88522,1.97839,1.85386,0.00192583,0.00192583,0.00192583
64,855.022,1.49107,1.82646,1.60039,0.72725,0.63613,0.7048,0.33255,1.91858,2.03687,1.89103,0.00192345,0.00192345,0.00192345
65,868.121,1.50632,1.90129,1.62897,0.70344,0.6201,0.69419,0.32697,1.92808,1.91483,1.8771,0.00192103,0.00192103,0.00192103
66,881.112,1.52236,1.9361,1.63758,0.73795,0.65228,0.73139,0.33479,1.95103,1.8713,1.88756,0.00191858,0.00191858,0.00191858
67,893.985,1.51053,1.86987,1.62068,0.74162,0.66292,0.72809,0.3348,1.92538,1.82539,1.86863,0.00191609,0.00191609,0.00191609
68,907.073,1.49016,1.83795,1.59655,0.7453,0.61421,0.69372,0.32175,1.97641,1.85128,1.90025,0.00191356,0.00191356,0.00191356
69,920.059,1.48941,1.8293,1.5843,0.66814,0.64896,0.70033,0.33693,1.91586,1.91693,1.82869,0.001911,0.001911,0.001911
70,933.029,1.47613,1.80615,1.5947,0.75138,0.61366,0.69891,0.32296,1.99858,1.98315,1.92825,0.00190841,0.00190841,0.00190841
71,946.15,1.47696,1.80244,1.59754,0.68261,0.6599,0.69174,0.30951,1.95411,1.92934,1.87019,0.00190578,0.00190578,0.00190578
72,959.363,1.46683,1.80063,1.58666,0.71946,0.58376,0.67969,0.31678,1.97753,1.96767,1.949,0.00190311,0.00190311,0.00190311
73,972.351,1.48798,1.8719,1.60411,0.73914,0.62944,0.70457,0.33707,1.89149,1.91517,1.82995,0.00190041,0.00190041,0.00190041
74,985.305,1.46334,1.8282,1.58702,0.77517,0.60914,0.72823,0.33848,1.88604,1.97411,1.84222,0.00189767,0.00189767,0.00189767
75,998.423,1.4597,1.74738,1.57892,0.71936,0.63107,0.7085,0.33181,1.94381,1.81708,1.89642,0.0018949,0.0018949,0.0018949
76,1011.56,1.42539,1.76973,1.56327,0.7293,0.63452,0.71587,0.34414,1.93277,1.83615,1.8344,0.0018921,0.0018921,0.0018921
77,1024.82,1.43646,1.75021,1.56993,0.75993,0.6802,0.74827,0.35017,1.93176,1.91263,1.8943,0.00188926,0.00188926,0.00188926
78,1038.29,1.42678,1.69539,1.55433,0.77186,0.63198,0.69959,0.33895,1.91767,1.92497,1.86943,0.00188638,0.00188638,0.00188638
79,1051.45,1.45115,1.71696,1.57531,0.74336,0.58122,0.69514,0.32559,1.94971,1.9178,1.9314,0.00188347,0.00188347,0.00188347
80,1064.42,1.42863,1.6988,1.55617,0.72524,0.66244,0.72808,0.3525,1.9322,1.78576,1.87098,0.00188052,0.00188052,0.00188052
81,1077.65,1.43887,1.72561,1.55149,0.63655,0.63959,0.65789,0.30713,1.9045,1.9495,1.87639,0.00187754,0.00187754,0.00187754
82,1090.9,1.43071,1.6724,1.55477,0.78534,0.585,0.71023,0.33528,1.97951,1.9079,1.94056,0.00187453,0.00187453,0.00187453
83,1103.91,1.38813,1.64342,1.53677,0.73549,0.67005,0.74925,0.36074,1.85578,1.74634,1.83389,0.00187148,0.00187148,0.00187148
84,1117.06,1.41112,1.64495,1.54859,0.73882,0.61028,0.69381,0.29934,2.09529,1.91972,1.99492,0.0018684,0.0018684,0.0018684
85,1130.04,1.41513,1.61902,1.54059,0.80047,0.62183,0.73442,0.34669,1.96449,1.73305,1.88699,0.00186528,0.00186528,0.00186528
86,1143.08,1.4265,1.66582,1.55852,0.71956,0.67766,0.71778,0.32731,1.98839,1.79078,1.94878,0.00186213,0.00186213,0.00186213
87,1156.18,1.3945,1.61438,1.51924,0.70844,0.66751,0.72867,0.35253,1.91264,1.7787,1.83864,0.00185895,0.00185895,0.00185895
88,1169.21,1.36348,1.5685,1.50464,0.79557,0.64467,0.76703,0.38134,1.81981,1.71888,1.81243,0.00185573,0.00185573,0.00185573
89,1182.23,1.39672,1.59435,1.5342,0.74283,0.63783,0.72199,0.35374,1.83289,1.75434,1.8564,0.00185248,0.00185248,0.00185248
90,1195.35,1.38657,1.58596,1.52846,0.74863,0.71055,0.7451,0.36588,1.82924,1.75033,1.79363,0.0018492,0.0018492,0.0018492
91,1208.38,1.36923,1.55255,1.50298,0.75701,0.66244,0.73697,0.36871,1.85162,1.69243,1.81026,0.00184588,0.00184588,0.00184588
92,1221.5,1.38476,1.5582,1.50775,0.77829,0.62366,0.72285,0.34285,1.98125,1.73198,1.91599,0.00184254,0.00184254,0.00184254
93,1234.49,1.3855,1.61298,1.52436,0.6981,0.6802,0.70415,0.33666,1.98813,1.77067,1.88868,0.00183915,0.00183915,0.00183915
94,1247.41,1.38486,1.57331,1.52195,0.77504,0.64721,0.73631,0.3519,1.89703,1.65863,1.87661,0.00183574,0.00183574,0.00183574
95,1260.37,1.38962,1.60152,1.53016,0.74873,0.65796,0.72768,0.33667,1.95395,1.80413,1.90597,0.00183229,0.00183229,0.00183229
96,1273.3,1.33836,1.55433,1.50099,0.73365,0.68513,0.74574,0.37835,1.86253,1.64558,1.85546,0.00182881,0.00182881,0.00182881
97,1286.4,1.34255,1.54186,1.48925,0.73164,0.61675,0.70641,0.36173,1.85545,1.75665,1.84144,0.0018253,0.0018253,0.0018253
98,1299.48,1.35209,1.5227,1.4879,0.73068,0.69289,0.74746,0.36643,1.95451,1.6403,1.90832,0.00182175,0.00182175,0.00182175
99,1312.66,1.34979,1.54324,1.48348,0.72801,0.67766,0.75876,0.38934,1.84008,1.57038,1.78264,0.00181818,0.00181818,0.00181818
100,1325.69,1.35605,1.55641,1.50018,0.82808,0.62944,0.76524,0.38306,1.81056,1.64261,1.80621,0.00181457,0.00181457,0.00181457
101,1338.7,1.30962,1.46918,1.46343,0.72125,0.65228,0.69892,0.33195,1.88952,1.75161,1.83634,0.00181093,0.00181093,0.00181093
102,1351.93,1.31859,1.48778,1.46495,0.7487,0.68274,0.74712,0.37275,1.81316,1.65344,1.80637,0.00180725,0.00180725,0.00180725
103,1364.93,1.31981,1.51208,1.47548,0.7306,0.70208,0.75725,0.37322,1.87808,1.64489,1.84963,0.00180355,0.00180355,0.00180355
104,1377.9,1.33714,1.53672,1.4825,0.73927,0.65488,0.73494,0.37459,1.81906,1.64259,1.83943,0.00179982,0.00179982,0.00179982
105,1391.02,1.29292,1.44521,1.44625,0.70259,0.68528,0.72827,0.35285,1.94744,1.65443,1.90463,0.00179605,0.00179605,0.00179605
106,1403.98,1.30397,1.48038,1.45817,0.72135,0.69289,0.7363,0.35437,1.82105,1.63056,1.80438,0.00179225,0.00179225,0.00179225
107,1417.08,1.28257,1.43938,1.45221,0.7351,0.68528,0.73653,0.3562,1.87637,1.67469,1.84836,0.00178843,0.00178843,0.00178843
108,1430.17,1.30334,1.46364,1.45882,0.71413,0.63959,0.714,0.36891,1.77627,1.78003,1.76112,0.00178457,0.00178457,0.00178457
